확정출주표,,,,,,,,,,,,,,,,,,,
2024년 09월 04일 36회 1일차,,,,,,,,,,,,,,,,,,,
제 01경주  (신인일반  11:40    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
1,B1,2,한 운,남,51,54,4.81,4.36,4.8,23.8,52.4,0.27,3434 2355,4.21,21.1,F0L0,0.58,13,
2,A2,11,정훈민,남,38,56,3.88,3.53,17.6,23.5,23.5,0.20,4255 1656,4.80,30.9,F0L0,0.14,14,
3,B2,6,양원준,남,47,60,4.67,3.42,5.6,22.2,55.6,0.22,3231 6433,3.91,16.3,F0L0,0.35,,
4,A1,11,서 휘,남,38,59,7.35,7.25,50.0,65.0,75.0,0.19,1511 1316,6.62,51.9,F0L0,0,12,
5,B2,8,김민길,남,45,56,7.83,7.64,61.1,77.8,77.8,0.18,1146 2162,6.09,46.8,F0L0,0.23,10,
6,B2,14,김은지,여,36,52,4.22,3.81,5.6,16.7,27.8,0.24,6554 2324,1.67,0.0,F0L0,0,11,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,한 운,36,60.0/5,00.0/6,33.3/6,28.6/7,14.3/7,00.0/5,107,5.86,48.3,62.1,홍진수/322,임 건/62,071,4.80,32.0,,
2,정훈민,35,83.3/6,50.0/6,25.0/4,16.7/6,28.6/7,16.7/6,082,6.00,43.8,68.8,이태희/232,서화모/02,014,6.27,46.7,,
3,양원준,23,75.0/4,00.0/5,00.0/3,00.0/2,50.0/4,20.0/5,048,5.63,43.8,53.1,최진혁/103,우진수/1632,013,5.32,38.2,,
4,서 휘,29,83.3/6,75.0/4,60.0/5,50.0/4,20.0/5,40.0/5,094,5.08,36.1,44.4,배혜민/566,이주영/351,019,4.55,29.0,부상 후 출전,
5,김민길,30,80.0/5,80.0/5,80.0/5,75.0/4,33.3/6,00.0/5,067,6.87,53.3,73.3,박진서/35,박민성/4552,020,6.47,52.9,,
6,김은지,3,00.0/0,00.0/1,00.0/1,00.0/0,00.0/1,00.0/0,054,6.19,37.0,63.0,임태경/423,구현구/1331,005,5.93,42.9,,
제 04경주  (일반  12:49    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,A2,8,전두식,남,44,57,4.65,4.21,5.9,23.5,52.9,0.25,2340 3623,5.00,22.6,F0L0,0.65,14,
2,B2,15,윤상선,남,32,63,1.87,1.50,6.7,6.7,6.7,0.29,6166 6656,2.00,7.7,F0L0,0.33,16,
3,A2,7,황이태,남,44,58,4.65,4.44,5.9,29.4,41.2,0.24,6544 3221,4.88,31.4,F0L0,0.25,13,
4,B1,15,박민영,여,28,45,4.19,3.97,12.5,12.5,31.3,0.20,6434 1645,4.13,10.9,F0L0,0.6,,
5,A1,12,류석현,남,38,58,5.14,4.86,14.3,42.9,52.4,0.26,1261 5636,6.12,50.0,F0L0,0.29,15,
6,B1,1,김종목,남,50,55,4.35,3.82,5.9,29.4,47.1,0.22,6146 5663,4.35,23.1,F0L0,0.5,12,
번호,선수명,최근 6개월 연대율 및 코스별 성적,,,,,,,모터성적,,,,전 탑승,,보트성적,,,특이사항,
,,출주,1코스,2코스,3코스,4코스,5코스,6코스,번호,평균,연대율,,선수/착순,,번호,평균,연대율,,
,,횟수,,,,,,,,착순점,2,3,,,,착순점,,,
1,전두식,32,75.0/4,16.7/6,33.3/6,20.0/5,12.5/8,00.0/3,073,5.59,35.3,52.9,오세준/625,한 운/3434,039,4.91,20.6,,
2,윤상선,12,50.0/2,00.0/3,00.0/2,00.0/1,00.0/2,00.0/2,030,6.05,45.5,63.6,주은석/12,김지영/2424,022,4.65,23.1,,
3,황이태,32,66.7/6,20.0/5,40.0/5,00.0/6,25.0/4,33.3/6,059,4.82,24.2,51.5,김창규/532,어선규/321,101,5.48,36.4,,
4,박민영,29,60.0/5,00.0/5,33.3/3,00.0/6,00.0/5,00.0/5,110,5.28,33.3,50.0,정인교/356,정세혁/511,003,6.55,55.0,,
5,류석현,42,75.0/8,50.0/6,40.0/5,62.5/8,40.0/5,20.0/10,105,4.63,20.0,45.7,손근성/611,이경섭/526,062,3.45,6.5,,
6,김종목,47,75.0/8,25.0/8,28.6/7,11.1/9,12.5/8,00.0/7,040,7.41,62.1,79.3,장영태/52,윤동오/2121,083,5.16,29.0,,
제 05경주  (일반  13:12    플라잉   2주회1200m),,,,,,,,,,,,,,,,,,,
번,등,기,선수명,성,나,체,최근 6회차 성적,,,,,,최근8경주,연간누적성적,,F/L,사고점,금일,금회성적
호,급,수,,별,이,중,평균,평균,승률,연대율,,평균,착순,평균,연대율,,,출주,(1일째)
,,,,,,,착순점,득점,,2,3,ST/OST,,착순점,,,,경주,
1,A1,7,류해광,남,40,60,6.15,6.13,20.0,40.0,65.0,0.27,1252 1312,6.27,44.8,F0L0,0.03,16,
2,A1,12,조성인,남,36,53,7.28,6.81,44.4,66.7,72.2,0.18,2141 5611,7.08,60.3,F0L0,0.5,12,
