연도,회차,일차,경주번호,경기종류,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2015,10,1,13,플라잉,4,B2,13,최진혁,남,31,60,1.6,1.23,0,0,0,0.21,5666 5566,1.36,0,F0L0,0.32,,,23,0.0/3,0.0/3,0.0/5,16.7/6,0.0/2,0.0/4,003,7.2,52.7,73.6,이창규/412,정용진/112,010,4.55,26.9,
2015,10,1,13,플라잉,5,A1,1,정민수,남,40,61,7.65,7.44,35.3,64.7,82.4,0.22,4512 1211,7.71,64.3,F0L0,0.25,07,,28,57.1/7,60.0/5,60.0/5,50.0/4,75.0/4,33.3/3,002,4.75,27.2,43.5,구현구/453,지용민/566,035,5.52,39.4,
2015,10,1,13,플라잉,6,A2,4,이경원,남,44,59,4.12,3.74,11.8,23.5,35.3,0.22,2156 5346,4,25,F0L0,0.17,06,,22,50.0/4,25.0/4,25.0/4,50.0/2,25.0/4,0.0/4,008,5.34,36,49.4,이주영/324,박정아/661,084,5.38,38.7,
2015,10,1,14,플라잉,1,B1,11,김지현,여,28,47,3.13,3.03,0,6.7,26.7,0.27,5655 4526,3.46,7.7,F0L0,0.12,,,24,0.0/4,20.0/5,0.0/4,0.0/3,0.0/4,0.0/4,036,4.91,33.3,42.2,김승택/16,김신오/645,033,5.3,32.9,
2015,10,1,14,플라잉,2,A1,1,김신오,남,38,62,5.11,4.53,11.1,38.9,55.6,0.26,3536 4502,4.8,33.3,F0L0,0.67,06,,27,20.0/5,50.0/4,25.0/4,40.0/5,50.0/4,40.0/5,063,4.4,24.1,40.2,사재준/554,박진서/54,005,4.97,26.7,
2015,10,1,14,플라잉,3,A1,4,이창규,남,36,59,6.39,5.92,27.8,44.4,61.1,0.27,4126 4132,6.87,53.3,F0L0,0.5,,,28,25.0/4,40.0/5,100.0/4,40.0/5,66.7/6,0.0/4,027,7.01,51.7,67.4,홍기철/122,권일혁/413,014,5.77,40.9,
2015,10,1,14,플라잉,4,B1,13,김보혜,여,25,54,3.23,2.69,7.7,7.7,23.1,0.23,3655 0663,3.3,10,F0L0,0.7,,,22,0.0/4,25.0/4,33.3/3,0.0/4,0.0/4,0.0/3,012,5.7,37.2,56.4,신현경/444,김민천/13,076,4.95,30.9,
2015,10,1,14,플라잉,5,B1,1,권현기,남,44,59,4.29,4,5.9,17.6,35.3,0.35,5133 5534,3.92,8.3,F0L0,0.17,08,,21,25.0/4,66.7/3,0.0/4,0.0/3,25.0/4,33.3/3,056,8.03,69,81.6,최재원/221,신동길/211,038,5.96,40.5,
2015,10,1,14,플라잉,6,B2,8,송효석,남,35,56,4.47,3.56,11.8,11.8,47.1,0.24,3443 6501,3.83,0,F0L0,0.42,07,,6,0.0/1,0.0/1,00.0/0,0.0/2,0.0/1,0.0/1,077,5.87,45.6,62.2,김민천/131,장영태/134,022,5.02,28.4,
2015,10,1,15,플라잉,1,A2,1,이태희,남,44,56,6.75,6.59,37.5,50,68.8,0.23,1113 2541,7,50,F0L0,0.18,09,,22,100.0/3,60.0/5,0.0/3,75.0/4,0.0/4,33.3/3,044,6.22,45.1,58.2,박민수/451,이주영/623,009,5.02,29.8,
