연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2013,46,2,01R,② 곽현성,① 구본수,④ 이미나,(2) 1.9,"(2) 1.1, (1) 2.3",(2-1) 5.1,(1-2) 3.2,(1-2-4) 3.1,-,-,
2013,46,2,02R,③ 정용진,② 박영수,④ 박진서,(3) 3.5,"(3) 1.6, (2) 2.3",(3-2) 8.4,(2-3) 3.7,(2-3-4) 33.0,-,-,
2013,46,2,03R,⑥ 이응석,① 김승택,② 이흥우,(6) 3.1,"(6) 1.5, (1) 6.4",(6-1) 18.2,(1-6) 10.8,(1-2-6) 8.6,-,-,
2013,46,2,04R,① 김명진,② 김민길,⑥ 박정아,(1) 3.7,"(1) 1.7, (2) 2.8",(1-2) 15.2,(1-2) 9.5,(1-2-6) 8.0,-,-,
2013,46,2,05R,⑤ 정민수,② 김희용,⑥ 반혜진,(5) 2.0,"(5) 1.4, (2) 2.7",(5-2) 6.0,(2-5) 3.9,(2-5-6) 18.6,-,-,
2013,46,2,06R,④ 권일혁,⑤ 한 운,⑥ 김세원,(4) 5.3,"(4) 2.4, (5) 2.3",(4-5) 18.5,(4-5) 11.4,(4-5-6) 19.8,-,-,
2013,46,2,07R,③ 김민천,② 김정민,⑤ 김기한,(3) 1.4,"(3) 1.0, (2) 1.8",(3-2) 3.2,(2-3) 2.2,(2-3-5) 2.5,-,-,
2013,46,2,08R,③ 김대선,② 이재학,① 박종덕,(3) 4.9,"(3) 1.7, (2) 1.0",(3-2) 9.9,(2-3) 3.0,(1-2-3) 3.1,-,-,
2013,46,2,09R,⑤ 구본수,① 김희영,⑥ 김승택,(5) 3.7,"(5) 1.8, (1) 6.4",(5-1) 28.5,(1-5) 16.1,(1-5-6) 38.1,-,-,
2013,46,2,10R,① 홍기철,③ 어선규,② 강영길,(1) 3.7,"(1) 1.3, (3) 1.2",(1-3) 5.8,(1-3) 1.9,(1-2-3) 5.1,-,-,
2013,46,2,11R,⑥ 김응선,④ 유해광,③ 지현욱,(6) 3.4,"(6) 1.8, (4) 1.4",(6-4) 11.8,(4-6) 5.6,(3-4-6) 10.1,-,-,
2013,46,2,12R,② 이종한,④ 황만주,⑤ 곽현성,(2) 1.9,"(2) 1.2, (4) 6.7",(2-4) 15.8,(2-4) 15.4,(2-4-5) 10.3,-,-,
2013,46,2,13R,⑤ 강창효,⑥ 손지영,② 정종훈,(5) 7.2,"(5) 2.8, (6) 1.7",(5-6) 13.2,(5-6) 6.2,(2-5-6) 14.0,-,-,
2013,46,2,14R,④ 김민천,① 한 운,③ 김국흠,(4) 1.7,"(4) 1.2, (1) 1.5",(4-1) 5.0,(1-4) 3.2,(1-3-4) 1.8,-,-,
2013,46,2,15R,⑤ 어선규,② 반혜진,③ 김기한,(5) 1.8,"(5) 1.5, (2) 6.9",(5-2) 19.2,(2-5) 12.8,(2-3-5) 12.5,-,-,
2013,46,1,01R,④ 이재학,② 유해광,⑤ 김명진,(4) 3.0,"(4) 1.8, (2) 1.5",(4-2) 6.0,(2-4) 2.9,(2-4-5) 4.3,-,-,
2013,46,1,02R,③ 정민수,④ 홍기철,⑥ 손근성,(3) 1.5,"(3) 1.0, (4) 2.3",(3-4) 4.3,(3-4) 3.2,(3-4-6) 7.4,-,-,
