연도,회차,일차,경주번호,경기종류
2018,12,2,5,플라잉
2018,12,2,6,플라잉
2018,12,2,7,플라잉
2018,12,2,8,플라잉
2018,12,2,9,플라잉
2018,12,2,10,플라잉
2018,12,2,11,플라잉
2018,12,2,12,플라잉
2018,12,2,13,플라잉
2018,12,2,14,플라잉
2018,12,2,15,온라인
2018,12,2,16,온라인
2018,13,1,1,플라잉
2018,13,1,2,플라잉
2018,13,1,3,플라잉
2018,13,1,4,플라잉
2018,13,1,5,플라잉
2018,13,1,6,플라잉
2018,13,1,7,플라잉
2018,13,1,8,플라잉
2018,13,1,9,플라잉
2018,13,1,10,플라잉
2018,13,1,11,플라잉
2018,13,1,12,플라잉
2018,13,1,13,플라잉
2018,13,1,14,플라잉
2018,13,1,15,플라잉
2018,13,1,16,플라잉
2018,13,2,1,플라잉
2018,13,2,2,플라잉
2018,13,2,3,플라잉
2018,13,2,4,플라잉
2018,13,2,5,플라잉
2018,13,2,6,플라잉
2018,13,2,7,플라잉
2018,13,2,8,플라잉
2018,13,2,9,플라잉
2018,13,2,10,플라잉
2018,13,2,11,플라잉
2018,13,2,12,플라잉
2018,13,2,13,플라잉
2018,13,2,14,플라잉
2018,13,2,15,플라잉
2018,13,2,16,플라잉
2018,14,1,1,온라인
2018,14,1,2,온라인
2018,14,1,3,플라잉
2018,14,1,4,플라잉
2018,14,1,5,플라잉
2018,14,1,6,플라잉
2018,14,1,7,플라잉
2018,14,1,8,플라잉
2018,14,1,9,플라잉
2018,14,1,10,플라잉
2018,14,1,11,플라잉
2018,14,1,12,플라잉
2018,14,1,13,플라잉
2018,14,1,14,플라잉
2018,14,1,15,온라인
2018,14,1,16,온라인
2018,14,2,1,온라인
2018,14,2,2,온라인
2018,14,2,3,플라잉
2018,14,2,4,플라잉
2018,14,2,5,플라잉
2018,14,2,6,플라잉
2018,14,2,7,플라잉
2018,14,2,8,플라잉
2018,14,2,9,플라잉
2018,14,2,10,플라잉
2018,14,2,11,플라잉
2018,14,2,12,플라잉
2018,14,2,13,플라잉
2018,14,2,14,플라잉
2018,14,2,15,온라인
2018,14,2,16,온라인
2018,15,1,1,온라인
2018,15,1,2,온라인
2018,15,1,3,플라잉
2018,15,1,4,플라잉
2018,15,1,5,플라잉
2018,15,1,6,플라잉
2018,15,1,7,플라잉
2018,15,1,8,플라잉
2018,15,1,9,플라잉
2018,15,1,10,플라잉
2018,15,1,11,플라잉
2018,15,1,12,플라잉
2018,15,1,13,플라잉
2018,15,1,14,플라잉
2018,15,1,15,온라인
2018,15,1,16,온라인
2018,15,2,1,온라인
2018,15,2,2,온라인
2018,15,2,3,플라잉
2018,15,2,4,플라잉
2018,15,2,5,플라잉
2018,15,2,6,플라잉
2018,15,2,7,플라잉
2018,15,2,8,플라잉
2018,15,2,9,플라잉
2018,15,2,10,플라잉
2018,15,2,11,플라잉
2018,15,2,12,플라잉
2018,15,2,13,플라잉
2018,15,2,14,플라잉
2018,15,2,15,온라인
2018,15,2,16,온라인
2018,16,1,1,플라잉
2018,16,1,2,플라잉
2018,16,1,3,플라잉
2018,16,1,4,플라잉
2018,16,1,5,플라잉
2018,16,1,6,플라잉
2018,16,1,7,플라잉
2018,16,1,8,플라잉
2018,16,1,9,플라잉
