연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2014,46,2,01R,③ 최재원,① 김현철,⑥ 유해광,(3) 5.0,"(3) 1.5, (1) 1.1",(3-1) 6.1,(1-3) 1.7,(1-3-6) 1.5,-,-,⑤
2014,46,2,02R,① 서 휘,④ 한성근,② 김도휘,(1) 1.5,"(1) 1.1, (4) 1.7",(1-4) 3.7,(1-4) 2.7,(1-2-4) 2.0,-,-,
2014,46,2,03R,① 고일수,④ 최광성,② 이용세,(1) 1.8,"(1) 1.3, (4) 1.5",(1-4) 4.0,(1-4) 2.8,(1-2-4) 1.7,-,-,
2014,46,2,04R,② 손제민,④ 김신오,⑥ 심상철,(2) 1.9,"(2) 1.4, (4) 1.9",(2-4) 4.3,(2-4) 3.1,(2-4-6) 2.4,-,-,
2014,46,2,05R,② 구본수,④ 정민수,③ 손동민,(2) 8.3,"(2) 3.4, (4) 1.5",(2-4) 21.9,(2-4) 11.3,(2-3-4) 22.8,-,-,
2014,46,2,06R,① 김동민,③ 박석문,② 오세준,(1) 2.7,"(1) 2.0, (3) 1.0",(1-3) 4.9,(1-3) 2.4,(1-2-3) 7.4,-,-,
2014,46,2,07R,③ 이승일,④ 이종인,⑥ 민영건,(3) 1.6,"(3) 1.2, (4) 2.7",(3-4) 5.7,(3-4) 4.8,(3-4-6) 12.2,-,-,①
2014,46,2,08R,① 유해광,② 손근성,⑤ 김선웅,(1) 1.6,"(1) 1.3, (2) 1.7",(1-2) 4.0,(1-2) 2.6,(1-2-5) 28.9,-,-,
2014,46,2,09R,① 윤영일,⑤ 이용세,② 홍기철,(1) 1.4,([]) 1.0,(1-5) 5.1,(1-5) 4.3,(1-2-5) 1.1,-,-,③ ④
2014,46,2,10R,① 심상철,③ 권일혁,⑤ 고일수,(1) 1.1,"(1) 1.0, (3) 1.5",(1-3) 2.2,(1-3) 1.8,(1-3-5) 1.9,-,-,
2014,46,2,11R,⑤ 김현철,① 정민수,⑥ 김완석,(5) 4.5,"(5) 1.7, (1) 1.0",(5-1) 8.9,(1-5) 2.8,(1-5-6) 3.8,-,-,
2014,46,2,12R,③ 이동준,① 조현귀,⑤ 김정민,(3) 4.5,"(3) 1.7, (1) 1.4",(3-1) 11.3,(1-3) 3.8,(1-3-5) 4.2,-,-,
2014,46,2,13R,① 김정구,② 박상현,③ 장영태,(1) 1.5,"(1) 1.1, (2) 2.7",(1-2) 6.6,(1-2) 5.2,(1-2-3) 2.9,-,-,
2014,46,2,14R,③ 이택근,① 손지영,⑤ 어선규,(3) 5.3,"(3) 2.0, (1) 1.0",(3-1) 9.5,(1-3) 2.7,(1-3-5) 2.2,-,-,
2014,46,2,15R,① 길현태,④ 한 진,⑥ 홍기철,(1) 1.1,"(1) 1.0, (4) 1.6",(1-4) 2.0,(1-4) 1.7,(1-4-6) 2.9,-,-,③
