,1번,2번,3번,4번,5번,6번
1경기,0.19843318546631175,0.17009889900903205,0.17105653867244122,0.14921814332990135,0.1565706838812351,0.15462254964107855
2경기,0.21961222177002312,0.17234664893532928,0.16942414339856318,0.21003067374009557,0.15412241397298254,0.07446389818300614
3경기,0.19139442690003236,0.15433383717217694,0.1708314764782716,0.20204269755547277,0.15835933271493197,0.12303822917911433
4경기,0.15645351415709136,0.19114384159049902,0.15486659416433673,0.1581388593499891,0.16283030593307257,0.1765668848050112
5경기,0.19263711316185586,0.1747569946807026,0.1900804235989755,0.15238341172669598,0.17988101461623773,0.11026104221553229
6경기,0.20463743631362266,0.20299144221956206,0.15358688969205334,0.195097420539458,0.16149083197334219,0.08219597926196154
7경기,0.22996247234618514,0.21292601209792683,0.20955464417452824,0.18120913725862814,0.14099226347552452,0.025355470647207196
8경기,0.19451946655945598,0.17746299833756837,0.18776586685743227,0.17448282520570318,0.09202904865070995,0.1737397943891302
9경기,0.1936010957188418,0.1837594556955303,0.1802449305911577,0.14457533179848173,0.19483406897565553,0.10298511722033277
10경기,0.2112915753529465,0.22370262790801085,0.145770280187352,0.15523877351516333,0.19849074997043503,0.06550599306609238
11경기,0.20838963259556476,0.19952679701164536,0.18192033798615884,0.11733423919268975,0.16257085612807903,0.1302581370858621
12경기,0.1795794817196599,0.19232060608659715,0.17466799024715404,0.20335958971219362,0.130630686361399,0.11944164587299631
13경기,0.23380580725548045,0.1734139056468686,0.19664128623608382,0.16686493780577638,0.1316381920089948,0.09763587104679601
14경기,0.1433097186539994,0.17445983634805978,0.17214468316475176,0.1499791032036952,0.17027960008902115,0.18982705854047252
15경기,0.17553118696147155,0.15981889105444422,0.18150404801190143,0.19031434167793743,0.10739990321308751,0.185431629081158
16경기,0.13973670426566653,0.19450032186276597,0.1611207195494167,0.2034627120608758,0.11046149137619551,0.19071805088507945
17경기,0.18502706723985696,0.18857252384559728,0.14226248230190341,0.16963840766287713,0.1945872935610778,0.11991222538868751
