,1번,2번,3번,4번,5번,6번
2경기,0.2671822799496228,0.16626325289957675,0.22087322967044826,0.16965506190125393,0.11846922708813946,0.05755694849095891
3경기,0.23875942563452296,0.24700858158967962,0.16000481041235898,0.23620098991187077,0.06452825504185787,0.053497937409709914
4경기,0.2546529773444412,0.19055733288176496,0.1836086465335881,0.08464943857471816,0.10400089126674489,0.18253071339874266
5경기,0.2457731515295565,0.20857512651550703,0.25268263539919056,0.09164532597791664,0.13494244676357645,0.06638131381425279
6경기,0.27614821439330944,0.19786667701197164,0.15173745563756255,0.1740222535579069,0.15398471153591733,0.046240687863332186
7경기,0.16187284684884004,0.17941489934609092,0.1523141373676626,0.18664169240525827,0.1862257670427714,0.13353065698937663
8경기,0.2543322624052003,0.2326182901048688,0.23273377415545074,0.07340586377952367,0.09698686250420303,0.10992294705075357
9경기,0.2287231111253814,0.24033345132111353,0.23220326349477938,0.1549427104142425,0.11324527145373835,0.030552192190744624
10경기,0.24506796098540787,0.26231495773051905,0.19453029107066871,0.12715773443957856,0.1447017129867438,0.026227342787081897
11경기,0.3065035470465234,0.1849701828011039,0.1467380983748601,0.2500675811097413,0.07216791228143163,0.039552678386339815
12경기,0.20499981048229593,0.24580948216987927,0.17920175661409302,0.19674265305490699,0.10203715203496502,0.0712091456438596
13경기,0.2701834922986711,0.19277659579221468,0.23052896513649201,0.1474927149385609,0.10647479829474053,0.05254343353932064
14경기,0.2029896062126598,0.2223578174636732,0.18428250260409754,0.1659697726891171,0.21146674207103036,0.012933558959421962
15경기,0.2774492468630465,0.1894676020451667,0.17456449408894043,0.07847387760875686,0.21071715412905112,0.06932762526503833
17경기,0.10781775085875181,0.16219354018907173,0.16846559969529198,0.19908695165134221,0.27073988657636777,0.09169627102917444
