Race_ID,1번,2번,3번,4번,5번,6번
2024_1_1_1,0.20015377564634107,0.18761573491505035,0.15584159258790167,0.1340171812930568,0.1439813809548063,0.17839033460284384
2024_1_1_2,0.19419076933836965,0.17986949904451036,0.1879870226693593,0.1282936049851515,0.18541678879229476,0.12424231517031442
2024_1_1_3,0.20747277414877316,0.17807247196887352,0.18844498481961447,0.17117236649056822,0.09863600192710117,0.15620140064506943
2024_1_1_4,0.2199910732842045,0.20624021612556329,0.15978696308078197,0.1425740914693592,0.17080045175727698,0.10060720428281408
2024_1_1_5,0.20077262379661243,0.17049884481290062,0.19121756352121325,0.1755823286310543,0.14812071397330598,0.11380792526491348
2024_1_1_7,0.18616341639844572,0.22544000744716738,0.17143806956103394,0.1914821335359326,0.1131546257725249,0.11232174728489536
2024_1_1_8,0.15218750786429644,0.19197972955626422,0.18822748394383307,0.16981874554759602,0.20665437961535113,0.09113215347265913
2024_1_1_9,0.2262098284434804,0.19213284923824012,0.12624910005329298,0.16685539024455728,0.12907518293321413,0.1594776490872152
2024_1_1_10,0.15227553182067582,0.20635080476950807,0.1735651592277066,0.1644504507893822,0.13910233679320178,0.16425571659952556
2024_1_1_11,0.25045994818674366,0.21565636053553494,0.1806850788048762,0.13040085996683187,0.18269700891496504,0.04010074359104838
2024_1_1_12,0.16123387432752811,0.2117568901454205,0.2092160009011609,0.18644850133530724,0.119612650591814,0.11173208269876925
2024_1_1_13,0.2322460401231123,0.19630808161650742,0.19420946045787202,0.15698029405683123,0.1522282633594535,0.06802786038622365
2024_1_1_14,0.1759707966625619,0.21370661977194474,0.14656645202688093,0.17187700149224486,0.11879181966070236,0.17308731038566513
2024_1_1_15,0.21125055819682134,0.22647808548763468,0.19899803367339897,0.14835534201628706,0.09502786504139746,0.11989011558446051
2024_1_1_16,0.21620682179275758,0.23972724329906703,0.2073217979229703,0.13459528168949442,0.13235136806084696,0.06979748723486374
2024_1_2_3,0.22295319018593215,0.1974830364300248,0.15343109664980356,0.1756165292972914,0.08200434480176537,0.1685118026351827
2024_1_2_4,0.22215531663247653,0.2162538050629269,0.1582543602602035,0.20840263125544367,0.12446288061424103,0.07047100617470851
2024_1_2_5,0.20324999700723156,0.2019091329924989,0.19378363182351793,0.13943313269798688,0.17852517395967715,0.08309893151908762
2024_1_2_6,0.16188715511890203,0.18445290268168077,0.15531768373653815,0.1783732218709946,0.1453045544593448,0.1746644821325397
2024_1_2_7,0.22596319991071204,0.2032672429883631,0.13067115286760037,0.1290893493833882,0.146098314588771,0.16491074026116526
2024_1_2_8,0.18586919937676563,0.19279560322558417,0.1992271039058496,0.14650822171263023,0.13807712460167967,0.13752274717749072
2024_1_2_10,0.2066791090923539,0.18541748211839829,0.1761688818958775,0.20801941760531525,0.16283619895365853,0.060878910334396345
2024_1_2_11,0.16390581568686824,0.19586462415365588,0.23339075122904182,0.11593704519236543,0.2044387347942743,0.08646302894379435
2024_1_2_12,0.2158508141852312,0.19615942745039977,0.14140529436547172,0.20333398005935613,0.1525128550417404,0.09073762889780077
2024_1_2_13,0.22803566268284875,0.22723527088390874,0.159683845770031,0.13210401774211106,0.1309710061698364,0.12197019675126401
2024_1_2_14,0.2115045915480228,0.22148402906838652,0.1644367414645383,0.13421538870863592,0.17685482938412359,0.09150441982629287
2024_1_2_15,0.22529809520890845,0.16209263778058958,0.21203810271654636,0.13698692504533397,0.1457400056799284,0.117844233568693
2024_1_2_16,0.22722362728750325,0.20465570569058933,0.22537877833447664,0.08083336002986526,0.2064644849150765,0.05544404374248909
2024_1_2_17,0.24326922726895783,0.23174732331669667,0.1562117189016545,0.09630724335576256,0.21995302182707624,0.05251146532985206
2024_2_1_1,0.20319920412641404,0.1793985912408348,0.20983784958434235,0.20270220745274195,0.1065418781224969,0.09832026947316992
2024_2_1_2,0.21436861797852552,0.20764780184297335,0.179379300408876,0.09826575307170088,0.1570937862328947,0.1432447404650296
2024_2_1_3,0.1925044326508404,0.19566000944791556,0.15147702126515603,0.18827833142928582,0.14640157143249052,0.12567863377431163
2024_2_1_4,0.2254634519372479,0.19232472173891485,0.14738931110167774,0.18114713402560845,0.18763831711110407,0.06603706408544688
2024_2_1_5,0.19698806391239843,0.19473795640750358,0.18214490216973633,0.07987158747608654,0.1759346261796024,0.17032286385467268
2024_2_1_6,0.2178065014848234,0.22553802655621072,0.20769919687292468,0.16078225183372855,0.09178901783740134,0.09638500541491124
2024_2_1_7,0.23029126390605653,0.1907255746037897,0.12930064680008566,0.17175881310079916,0.23110608742985547,0.04681761415941352
2024_2_1_8,0.15299489150645976,0.1910173509065937,0.20883139320533856,0.11040881282136636,0.19269717843938539,0.1440503731208563
2024_2_1_9,0.2002764500144333,0.21084278529018716,0.18044446784934293,0.2061878032695137,0.14487985430419126,0.0573686392723315
2024_2_1_10,0.1950220105260734,0.15974346204360898,0.20324946524742415,0.16057639621447836,0.19187553352813255,0.0895331324402825
2024_2_1_13,0.15399162535946062,0.20811475267315963,0.14817852825074004,0.17479557324173386,0.1531821795759717,0.16173734089893413
2024_2_1_14,0.20700014175148457,0.15713464100889327,0.1966527047108646,0.13027952352512007,0.1782228201533991,0.13071016885023845
2024_2_1_15,0.21541030359882465,0.23455191775685139,0.2004366375588869,0.0791047843646087,0.14033825490655605,0.13015810181427237
2024_2_1_16,0.21826414987943807,0.20495518859251197,0.1999000443122613,0.16524567465468895,0.1192278485983188,0.09240709396278086
2024_2_1_17,0.18655064433930207,0.19701006239855454,0.1809280829044912,0.20320490421474277,0.11117933393000297,0.12112697221290641
2024_2_2_1,0.21046911761939868,0.20119601256750158,0.16955879888813294,0.12526061334507518,0.20964026009260847,0.08387519748728314
