,1번,2번,3번,4번,5번,6번
2경기,0.34606481481481494,0.12500000000000003,0.2268518518518519,0.14699074074074076,0.09027777777777779,0.06481481481481481
3경기,0.26426799007444174,0.2853598014888338,0.10297766749379655,0.1712158808933003,0.08808933002481392,0.08808933002481392
4경기,0.3428217821782178,0.16707920792079203,0.15717821782178215,0.08539603960396039,0.07301980198019802,0.1745049504950495
5경기,0.28587319243604004,0.20022246941045604,0.23581757508342605,0.10344827586206896,0.10233592880978865,0.07230255839822025
6경기,0.3919716646989374,0.14167650531286893,0.10389610389610389,0.15820543093270364,0.1369539551357733,0.06729634002361276
7경기,0.21382842509603073,0.1626120358514725,0.15749039692701666,0.1741357234314981,0.19078104993597952,0.10115236875800257
8경기,0.2874306839186691,0.22365988909426984,0.2865064695009242,0.05545286506469502,0.05083179297597043,0.09611829944547134
9경기,0.2404306220095694,0.25717703349282295,0.19497607655502391,0.1507177033492823,0.0992822966507177,0.05741626794258373
10경기,0.25497512437810943,0.27860696517412936,0.167910447761194,0.11567164179104476,0.10323383084577115,0.07960199004975124
11경기,0.4254431699687174,0.14389989572471323,0.10740354535974973,0.21480709071949947,0.060479666319082366,0.047966631908237745
12경기,0.23076923076923078,0.3027295285359801,0.162944582299421,0.1794871794871795,0.07196029776674936,0.052109181141439205
13경기,0.34037819799777524,0.16017797552836485,0.23915461624026693,0.11790878754171301,0.07007786429365961,0.07230255839822025
14경기,0.18863049095607234,0.2842377260981912,0.15633074935400515,0.15762273901808785,0.16537467700258396,0.04780361757105942
15경기,0.3915343915343915,0.1439153439153439,0.16190476190476186,0.08253968253968255,0.16402116402116404,0.05608465608465607
16경기,0.23210831721470018,0.16827852998065762,0.22823984526112184,0.18085106382978722,0.16344294003868473,0.02707930367504836
17경기,0.13066385669125394,0.1422550052687039,0.14963119072708114,0.18861959957850366,0.2718651211801897,0.11696522655426767
