,1번,2번,3번,4번,5번,6번
1경기,0.22399786241473887,0.2148777140654786,0.17666262201646254,0.12842073952351776,0.21901086547541324,0.03703019650438906
2경기,0.303851813538991,0.1196881357499843,0.27073868146599694,0.12977882918046452,0.09827291838960125,0.07766962167496197
3경기,0.29813104651294337,0.2511669190779966,0.14334522430665375,0.26041618081367884,0.037979343504057315,0.008961285784670108
4경기,0.34020329223272056,0.24846200287035075,0.1495205034507202,0.15734091039614154,0.05911814698381149,0.045355144066255425
5경기,0.2204791604767625,0.20908911869754054,0.15904877986291674,0.1990822885945428,0.17916186384097113,0.03313878852726627
6경기,0.35062963098300953,0.17168557911131663,0.3383177276463854,0.08783152391457603,0.04330503294972698,0.008230505394985384
7경기,0.36996082614430637,0.24891406842568906,0.1926560421777448,0.1144393383850331,0.05776224182780959,0.01626748303941728
8경기,0.26741575433340425,0.2593547615792056,0.20336904045900078,0.02711286125026507,0.18049232990968203,0.06225525246844218
10경기,0.49327703787987315,0.19039602391357424,0.13300314499338498,0.10598052402575539,0.055669447101798275,0.02167382208561398
11경기,0.3145763086644937,0.268740750876714,0.1295126329758359,0.13682343564360572,0.07777700523099815,0.07256986660835246
12경기,0.31044328726415393,0.19422197631905985,0.17973242287705954,0.25813079505230363,0.04345227216162589,0.014019246325797142
13경기,0.33679083661690795,0.09470893923254158,0.25599569206038025,0.11986543474887551,0.19062545514197024,0.002013642199324636
14경기,0.40374212725211583,0.10122435101335192,0.25125566817224615,0.09998893349313734,0.10199513957842322,0.041793780490725435
15경기,0.40548732129616344,0.2388231558518748,0.12266387297673836,0.10517049308437848,0.10907119208872958,0.018783964702115304
16경기,0.22961967660966623,0.26284238754775013,0.21572463103412604,0.14950248361190857,0.12983657977271648,0.012474241423832471
17경기,0.29528511134951047,0.15276199913647484,0.140249831226847,0.21885421369799474,0.12648570097694561,0.0663631436122272
