,1번,2번,3번,4번,5번,6번
2경기,0.2527739455374111,0.16794891170892284,0.21214276980249616,0.16148372217633383,0.11669842760990391,0.08895222316493229
3경기,0.22123274369362805,0.223979282948449,0.1328289584896474,0.19545873624871776,0.12372664291253649,0.10277363570702133
4경기,0.2458739054111872,0.1683144304584353,0.17897360256535733,0.09813238679223696,0.11981437726019498,0.18889129751258826
5경기,0.23314523461848546,0.18160607441129278,0.22105188363927303,0.12441935705224819,0.1404044035002873,0.0993730467784133
6경기,0.265391107646166,0.18424843250520626,0.1428128815180497,0.16961356127304458,0.15144748719159046,0.08648652986594305
7경기,0.16828957528318814,0.16876180240319436,0.15269960848644948,0.17314003246375698,0.17315118048284456,0.16395780088056655
8경기,0.2319188278295783,0.19877304411251126,0.2162505817611606,0.09059013952698462,0.10345990092116165,0.1590075058486037
9경기,0.21942235872798535,0.22114303855830475,0.21987717628457074,0.15259242403199189,0.1280524375932824,0.05891256480386496
10경기,0.21562889393838838,0.2485636250887786,0.18581627709546106,0.13566156890519454,0.16429668817854098,0.050032946793636436
11경기,0.29110233115342243,0.17319505052631248,0.15309423913955,0.23191305996761952,0.10620953375323841,0.04448578545985717
12경기,0.20009737566215222,0.2195975693276663,0.16717800554024922,0.1839831430093925,0.12728656311289438,0.10185734334764551
13경기,0.24949230561993796,0.17603203868846684,0.22447540654582676,0.14576716216894647,0.11513402523326771,0.08909906174355432
14경기,0.21776164247315613,0.21650632659029442,0.16962158685934323,0.15014498021155526,0.18127239604952547,0.0646930678161256
15경기,0.2731041985769874,0.17249163675762452,0.17439548542313862,0.09307142754701261,0.1837137798765655,0.10322347181867131
16경기,0.17671561015532294,0.1699687968793095,0.19402138947010247,0.17539456682168136,0.19019252211006732,0.09370711456351644
17경기,0.11868752061659785,0.1608010529589471,0.1624404413038143,0.18785832987090895,0.22170125262725732,0.14851140262247453
