,1번,2번,3번,4번,5번,6번
1경기,0.5313998805900717,0.3585075973245316,0.3586160830743047,0.2109351966026587,0.3129690670988511,0.13408565270821732
2경기,0.7635912642482217,0.31042387190776183,0.2156384444018356,0.1366485509852317,0.17309183949700319,0.04416787909039237
3경기,0.5456133947205026,0.39543376460776236,0.33747523363674675,0.23855236889571957,0.4973267750619395,0.01318874347369236
4경기,0.5874205795849058,0.36928003531041387,0.24269162881720424,0.17899139880043918,0.15319792068245985,0.14660058687342922
5경기,0.6568740835941498,0.39120927296396124,0.14466145023654298,0.20709622233357838,0.1251354462097456,0.04988598949804724
6경기,0.5734154005670233,0.45511886575985655,0.37872358149349894,0.11558995043059576,0.14876061471754318,0.00805300786859708
8경기,0.717242884640994,0.3131358599451365,0.16222736501629448,0.3615858883829787,0.06490773663271492,0.02282276823890765
9경기,0.28792489906055996,0.5999187660313918,0.31387065018215826,0.10494273235117779,0.11438671277682917,0.41626115843433154
10경기,0.5496508271289394,0.391785431719052,0.5903561674908447,0.2332670324370516,0.046054552815495226,0.04170147545948674
11경기,0.4567683650589879,0.3735301972389672,0.3670026335504296,0.6047015438699409,0.1800948637728349,0.010156930847356608
12경기,0.3600894998655195,0.5201995677581346,0.42590001930318666,0.20882086116295717,0.20600901343020542,0.006809399444528288
13경기,0.40555013658939754,0.49036333359890766,0.30363624381140997,0.38860507180360926,0.12075835403306703,0.19419162173486795
14경기,0.5927472240064839,0.2599112253796696,0.4078063246963026,0.53559698236803,0.22440235660833405,0.014315088760608153
15경기,0.6077114461759672,0.2938782899577143,0.2578686559870363,0.24800566087120218,0.29804199969376893,0.35626172977357073
17경기,0.18052673466661734,0.3337036375581982,0.6848046685130814,0.4916157296151419,0.11929438423931935,0.18783921334010695
