,1번,2번,3번,4번,5번,6번
1경기,0.7617412724441212,0.6691985627806547,0.5228910010378026,0.6297009229238043,0.35651151378938795,0.26193664804011385
2경기,0.8027800888939959,0.5687416546676322,0.6847282650627347,0.18282960205792304,0.43984349290909763,0.5102949261007391
3경기,0.6139603372683566,0.7942199648586397,0.6316425360565052,0.33200213483173024,0.27125457719388013,0.4697180872509346
4경기,0.7366189862037095,0.5246438857592377,0.6668321432084753,0.6386277942328016,0.2557962745587838,0.591992859310398
5경기,0.824305920351188,0.5196866160420672,0.6185140093508114,0.4359438376473288,0.5129362865116965,0.3060335131716089
6경기,0.762315210818907,0.655802717289782,0.48264357744407294,0.7078660088411783,0.6301161940722562,0.29664304396178076
7경기,0.8177003761695938,0.6279160033495161,0.5762418470770283,0.6981334283724591,0.562599900511463,0.059879798385318685
8경기,0.7918755878004606,0.6207235731008552,0.6739699324937249,0.4270436501683812,0.3063610376474653,0.5172439141834897
9경기,0.7007933675484013,0.59975242517416,0.4463639281851145,0.5696024937409695,0.726524644978245,0.381511535515125
10경기,0.6190132370183139,0.7581144529254178,0.5251041530113393,0.5548441796083309,0.4338617410168594,0.3585946985940124
11경기,0.8300329455867675,0.6891657429106737,0.7366113306168506,0.3841731343186079,0.3007248691551231,0.38331459295854814
12경기,0.4363703102989252,0.7531004135690177,0.4864903448586947,0.5555001496244755,0.68256301218293,0.09560394717251938
13경기,0.870664709677796,0.7863916235293185,0.30749707889151134,0.4381989945595466,0.3157316887282933,0.33351874299668643
14경기,0.8111855506857225,0.791130293800416,0.3692962215206079,0.5950292455788233,0.3228790592859671,0.12371846520252623
15경기,0.8790502610123007,0.5968528184303226,0.3092211754431231,0.5137018252877295,0.7539177168015164,0.2618763810537742
16경기,0.7486221027191835,0.5637630945636076,0.3646190416699029,0.6126792865483124,0.5345250701466642,0.7250389716364709
17경기,0.7775068480887803,0.7708060624658226,0.34877387978849805,0.5137585633176274,0.4729541619583351,0.3719680695194535
