,1번,2번,3번,4번,5번,6번
2경기,0.30618473799562773,0.13611327709330195,0.22258775412560441,0.16396583994954417,0.09848323766243719,0.07266515317348463
3경기,0.2507679604955013,0.25977255931294857,0.1385811874350161,0.18925038408083172,0.08913047445140201,0.0724974342243003
4경기,0.29727296811120935,0.17001617356824322,0.1654982032450337,0.08229122549050143,0.09368775182065692,0.19123367776435551
5경기,0.26831032482893685,0.19822259057478575,0.2435064095863557,0.09810725326938458,0.10807133827001697,0.08378208347052024
6경기,0.3350051999553578,0.16382814460441264,0.11618203905668983,0.1680469342043311,0.14677616774442157,0.07016151443478708
7경기,0.18293418353855045,0.16145854824429984,0.1534220837689479,0.1848693360466292,0.18234161377031943,0.1349742346312532
8경기,0.26504880270420733,0.21710170708678495,0.2538779198895865,0.07589989759204041,0.06926285739125382,0.11880881533612701
9경기,0.23491694581700867,0.24213731056298787,0.20544220063277802,0.1622036333877974,0.1091923526152719,0.04610755698415611
10경기,0.24864820572544638,0.2680332905410239,0.18637142455938344,0.126048150270016,0.11387077519561767,0.057028153708512636
11경기,0.36305808308471954,0.15161884958042807,0.1230581214489294,0.23337175937351398,0.07623350356359027,0.05265968294881888
12경기,0.2104067852546028,0.2711193640105003,0.1781995535250331,0.18207243129563222,0.08666436114267433,0.07153750477155735
13경기,0.30335809280735426,0.16121955343356315,0.22848406664377707,0.1446919229391424,0.08910213354932126,0.07314423062684189
14경기,0.20121102923776005,0.2555404813603626,0.17640995553595226,0.14802457069697564,0.18434389854492583,0.0344700646240237
15경기,0.3266635337887323,0.16375979238034832,0.1682456527312558,0.0809616046044716,0.17750710514694207,0.08286231134824987
16경기,0.2099012386816794,0.17292706873627048,0.2080259390676484,0.18259260356397344,0.1659613591618969,0.06059179078853147
17경기,0.12764168274686846,0.13689583800296554,0.14838118075974088,0.20011350212221396,0.2651990055414543,0.12176879082675686
