,1번,2번,3번,4번,5번,6번
2경기,0.2663046611764406,0.1472265541866039,0.21832365639935694,0.18094093915834758,0.1066886975470966,0.08051549153215444
3경기,0.23726793091656087,0.2341853171370634,0.17418470737623565,0.20728488726836314,0.09017161887799009,0.05690553842378667
4경기,0.25172415404420084,0.17295313921569436,0.1738181886682852,0.07918641137704244,0.11435570166111579,0.20796240503366142
5경기,0.2507474572218336,0.1962227117391154,0.2511952440892853,0.09276623067670016,0.11380674773024527,0.0952616085428202
6경기,0.27803873521177824,0.18597978389595632,0.1284679742172758,0.17788843747595853,0.15659838035306983,0.07302668884596138
7경기,0.1520399419810702,0.16030506063712716,0.14935377061087912,0.19560294866176028,0.17390217760465937,0.16879610050450383
8경기,0.24266692148974559,0.21054352507930008,0.22124937027824884,0.0963469301193858,0.0876939218065372,0.14149933122678268
9경기,0.2294032696244479,0.22709758763315277,0.2159083247105321,0.17368956342631248,0.1191024085798261,0.0347988460257285
10경기,0.24232128707278325,0.25745961590791844,0.20483240135757283,0.1364246587489872,0.12450771954546412,0.03445431736727401
11경기,0.3006729962007216,0.15933780343614282,0.13871269753810903,0.2519364280275284,0.09198734080809813,0.05735273398939999
12경기,0.19004433973997475,0.23950919948502034,0.1934545247506452,0.1846576831040849,0.10136842451859926,0.09096582840167547
13경기,0.2663379876169332,0.1622611313387614,0.21781351704728721,0.17147505833657178,0.10812640280498291,0.07398590285546354
14경기,0.21379156751944772,0.22684323662253392,0.19648916171789935,0.13842640237586334,0.20331312008726765,0.021136511676987973
15경기,0.2617926760430731,0.18360424084535273,0.17458654355774975,0.07938352666926067,0.1909930462727201,0.10963996661184366
16경기,0.18769416014865853,0.17757560749188328,0.1878120328741749,0.18433414329815961,0.16847977828510896,0.09410427790201456
17경기,0.124619508802483,0.13153667073722716,0.14713117079240062,0.2116074046659243,0.25853288990271894,0.12657235509924605
