,1번,2번,3번,4번,5번,6번
1경기,0.37522768670309653,0.22768670309653916,0.1256830601092896,0.10564663023679419,0.09289617486338798,0.07285974499089252
2경기,0.245583038869258,0.42049469964664316,0.10954063604240286,0.0618374558303887,0.1413427561837456,0.02120141342756184
3경기,0.6299065420560748,0.07102803738317756,0.08037383177570093,0.09158878504672897,0.11028037383177569,0.016822429906542057
4경기,0.2976653696498054,0.18482490272373542,0.2490272373540856,0.14007782101167315,0.04474708171206226,0.08365758754863814
5경기,0.2623318385650224,0.2533632286995516,0.18834080717488788,0.1412556053811659,0.08744394618834081,0.0672645739910314
6경기,0.35727109515260314,0.1885098743267504,0.10053859964093353,0.2567324955116696,0.035906642728904835,0.061041292639138225
7경기,0.25775193798449614,0.20736434108527127,0.2209302325581395,0.1686046511627907,0.11821705426356588,0.027131782945736437
8경기,0.35624999999999996,0.24791666666666667,0.07083333333333335,0.18125000000000002,0.1416666666666667,0.0020833333333333333
9경기,0.22406639004149376,0.25933609958506226,0.17427385892116184,0.2966804979253112,0.03526970954356847,0.010373443983402491
10경기,0.37524177949709864,0.28046421663442944,0.1895551257253385,0.1044487427466151,0.04061895551257254,0.009671179883945842
11경기,0.42718446601941745,0.12233009708737862,0.1320388349514563,0.20582524271844657,0.06213592233009707,0.050485436893203874
12경기,0.3144654088050314,0.13993710691823896,0.1242138364779874,0.18081761006289307,0.1823899371069182,0.058176100628930805
13경기,0.3313609467455621,0.26232741617357,0.07692307692307693,0.1242603550295858,0.09467455621301775,0.11045364891518739
14경기,0.6144067796610169,0.19703389830508472,0.05296610169491525,0.09322033898305083,0.0423728813559322,0.0
15경기,0.4784394250513347,0.17248459958932238,0.13757700205338808,0.14784394250513347,0.055441478439425054,0.008213552361396302
16경기,0.19753086419753088,0.19958847736625515,0.25308641975308643,0.18930041152263377,0.08641975308641975,0.07407407407407406
17경기,0.3733075435203095,0.30174081237911027,0.11218568665377175,0.1044487427466151,0.059961315280464215,0.04835589941972922
